sample_id,country,R0,gen_time,p_det,false_positive_rate,earliest_detection_time,earliest_surveillance_type,local_cases_at_detection,total_latent,total_infectious,total_detectable
114,Switzerland,2.0,4.0,0.08,0.04,34.98145881020617,ICU,1526.0,827.0,743.0,1811.0
115,Switzerland,2.0,4.0,0.08,0.04,33.500000220015366,HARISS,338.0,868.0,782.0,1754.0
116,Switzerland,2.0,4.0,0.08,0.04,28.0,AWW,50.0,845.0,753.0,1821.0
117,Switzerland,2.0,4.0,0.08,0.04,29.500000698316622,HARISS,204.0,823.0,783.0,1681.0
118,Switzerland,2.0,4.0,0.08,0.04,31.371568640462044,ICU,487.0,817.0,802.0,1836.0
119,Switzerland,2.0,4.0,0.08,0.04,35.528505170761356,ICU,1440.0,796.0,812.0,1795.0
120,Switzerland,2.0,4.0,0.08,0.04,33.500000115036144,HARISS,354.0,872.0,800.0,1695.0
121,Switzerland,2.0,4.0,0.08,0.04,22.0,AWW,222.0,845.0,798.0,1681.0
122,Switzerland,2.0,4.0,0.08,0.04,26.0,AWW,64.0,871.0,803.0,1714.0
123,Switzerland,2.0,4.0,0.08,0.04,31.0,AWW,170.0,896.0,846.0,1742.0
124,Switzerland,2.0,4.0,0.08,0.04,31.61589055223776,ICU,533.0,813.0,780.0,1678.0
125,Switzerland,2.0,4.0,0.08,0.04,35.210493093685784,ICU,869.0,812.0,784.0,1804.0
126,Switzerland,2.0,4.0,0.08,0.04,31.0,AWW,346.0,846.0,830.0,1734.0
127,Switzerland,2.0,4.0,0.08,0.04,29.500000062990466,HARISS,220.0,916.0,800.0,1749.0
128,Switzerland,2.0,4.0,0.08,0.04,32.0,AWW,125.0,840.0,747.0,1779.0
129,Switzerland,2.0,4.0,0.08,0.04,22.17974782725731,ICU,36.0,840.0,806.0,1733.0
130,Switzerland,2.0,4.0,0.08,0.04,34.0,AWW,175.0,855.0,804.0,1719.0
131,Switzerland,2.0,4.0,0.08,0.04,29.500000588915828,HARISS,205.0,909.0,820.0,1871.0
132,Switzerland,2.0,4.0,0.08,0.04,31.0,AWW,143.0,798.0,808.0,1808.0
133,Switzerland,2.0,4.0,0.08,0.04,31.740977162028173,ICU,296.0,815.0,811.0,1785.0
134,Switzerland,2.0,4.0,0.08,0.04,31.0,AWW,177.0,853.0,773.0,1777.0
135,Switzerland,2.0,4.0,0.08,0.04,29.739903248920758,ICU,1085.0,849.0,766.0,1726.0
136,Switzerland,2.0,4.0,0.08,0.04,31.0,AWW,429.0,873.0,771.0,1758.0
137,Switzerland,2.0,4.0,0.08,0.04,34.41253210562007,ICU,427.0,877.0,808.0,1817.0
138,Switzerland,2.0,4.0,0.08,0.04,26.0,AWW,37.0,896.0,784.0,1764.0
139,Switzerland,2.0,4.0,0.08,0.04,33.93959815394047,ICU,408.0,862.0,762.0,1773.0
140,Switzerland,2.0,4.0,0.08,0.04,28.0,AWW,174.0,873.0,824.0,1778.0
