sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,total_latent,total_infectious,total_detectable
507,Switzerland,2.0,4.0,0.08,0.04,48.03103369024367,1913.0,43.500000091510046,742.0,27.0,23.0,39.0,302.0,27.0,AWW,39.0,AWW,4992.0,4750.0,10519.0
508,Switzerland,2.0,4.0,0.08,0.04,44.62414219323136,1278.0,40.500000013174365,498.0,31.0,57.0,32.0,73.0,31.0,AWW,32.0,AWW,5176.0,4719.0,10824.0
509,Switzerland,2.0,4.0,0.08,0.04,40.18708699586857,620.0,40.50000020529247,666.0,30.0,87.0,36.0,273.0,30.0,AWW,36.0,AWW,5192.0,4757.0,10885.0
510,Switzerland,2.0,4.0,0.08,0.04,44.369529981365886,1476.0,33.5000007249544,152.0,29.0,68.0,33.0,144.0,29.0,AWW,33.0,AWW,5091.0,4712.0,10665.0
511,Switzerland,2.0,4.0,0.08,0.04,44.54077351803201,806.0,47.5000003489548,1607.0,24.0,12.0,38.0,176.0,24.0,AWW,38.0,AWW,5039.0,4673.0,10741.0
512,Switzerland,2.0,4.0,0.08,0.04,47.4970942922215,2768.0,47.50000053782689,2771.0,12.0,9.0,20.0,17.0,12.0,AWW,20.0,AWW,5055.0,4676.0,10557.0
513,Switzerland,2.0,4.0,0.08,0.04,41.4504435144719,2947.0,22.500000281010742,42.0,27.0,111.0,36.0,860.0,22.500000281010742,HARISS,22.500000281010742,HARISS,5091.0,4852.0,10522.0
514,Switzerland,2.0,4.0,0.08,0.04,38.71986601707602,1873.0,40.50000005120331,2758.0,28.0,185.0,31.0,367.0,28.0,AWW,31.0,AWW,5109.0,4829.0,10612.0
515,Switzerland,2.0,4.0,0.08,0.04,29.186729749942728,3790.0,26.500000373492327,2024.0,29.0,3653.0,32.0,6416.0,26.500000373492327,HARISS,26.500000373492327,HARISS,5105.0,4780.0,10660.0
516,Switzerland,2.0,4.0,0.08,0.04,33.655957140080744,2242.0,33.5000008137723,2162.0,28.0,299.0,32.0,1436.0,28.0,AWW,32.0,AWW,4991.0,4586.0,10647.0
517,Switzerland,2.0,4.0,0.08,0.04,41.82256828722838,1877.0,40.50000094166483,1366.0,27.0,66.0,38.0,794.0,27.0,AWW,38.0,AWW,5062.0,4727.0,10765.0
518,Switzerland,2.0,4.0,0.08,0.04,33.14234637177995,2075.0,29.500000067558165,1093.0,20.0,51.0,21.0,74.0,20.0,AWW,21.0,AWW,5080.0,4808.0,10849.0
519,Switzerland,2.0,4.0,0.08,0.04,36.134315070446654,1835.0,40.500000095290495,4685.0,31.0,583.0,32.0,765.0,31.0,AWW,32.0,AWW,5135.0,4789.0,10551.0
520,Switzerland,2.0,4.0,0.08,0.04,45.76821887914218,895.0,43.5000003471524,553.0,25.0,16.0,26.0,17.0,25.0,AWW,26.0,AWW,4995.0,4675.0,10560.0
521,Switzerland,2.0,4.0,0.08,0.04,36.85086270855652,1808.0,33.500000613035496,867.0,32.0,620.0,33.0,788.0,32.0,AWW,33.0,AWW,5059.0,4919.0,10634.0
522,Switzerland,2.0,4.0,0.08,0.04,62.360795694844974,6140.0,57.5000009971777,2313.0,31.0,17.0,35.0,27.0,31.0,AWW,35.0,AWW,5075.0,4793.0,10792.0
523,Switzerland,2.0,4.0,0.08,0.04,43.27025777556455,322.0,40.500000070043406,219.0,30.0,31.0,31.0,38.0,30.0,AWW,31.0,AWW,5203.0,4740.0,10662.0
524,Switzerland,2.0,4.0,0.08,0.04,55.60157540099324,2847.0,57.50000012847625,4503.0,24.0,5.0,22.0,4.0,24.0,AWW,22.0,AWW,5238.0,4663.0,10645.0
525,Switzerland,2.0,4.0,0.08,0.04,32.12214638048501,144.0,40.50000021237064,956.0,25.0,27.0,35.0,282.0,25.0,AWW,32.12214638048501,ICU,5190.0,4753.0,10576.0
526,Switzerland,2.0,4.0,0.08,0.04,35.23373417272463,1123.0,29.50000055737955,342.0,17.0,20.0,17.0,20.0,17.0,AWW,17.0,AWW,5152.0,4808.0,10603.0
527,Switzerland,2.0,4.0,0.08,0.04,38.44287236999675,915.0,40.50000023775009,1365.0,24.0,59.0,38.0,828.0,24.0,AWW,38.0,AWW,5215.0,4730.0,10751.0
528,Switzerland,2.0,4.0,0.08,0.04,39.667569006644115,2089.0,26.50000020476893,112.0,29.0,214.0,30.0,261.0,26.50000020476893,HARISS,26.50000020476893,HARISS,4996.0,4822.0,10674.0
529,Switzerland,2.0,4.0,0.08,0.04,51.718123987065134,1918.0,47.50000005012734,776.0,15.0,0.0,38.0,113.0,15.0,AWW,38.0,AWW,5073.0,4810.0,10798.0
530,Switzerland,2.0,4.0,0.08,0.04,39.76520282926057,447.0,47.50000082901414,2185.0,26.0,24.0,36.0,219.0,26.0,AWW,36.0,AWW,5124.0,4807.0,10708.0
