sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,total_latent,total_infectious,total_detectable
717,Switzerland,1.5,4.0,0.08,0.04,71.91972661240813,6159.0,54.50000066680167,444.0,31.0,1.0,56.0,557.0,31.0,AWW,54.50000066680167,HARISS,930.0,1075.0,3037.0
718,Switzerland,1.5,4.0,0.08,0.04,58.129553200248836,2051.0,43.50000065543612,204.0,36.0,65.0,47.0,364.0,36.0,AWW,43.50000065543612,HARISS,927.0,1095.0,3058.0
719,Switzerland,1.5,4.0,0.08,0.04,63.06155102279216,3510.0,57.50000049246369,1515.0,29.0,10.0,60.0,2175.0,29.0,AWW,57.50000049246369,HARISS,1019.0,1076.0,2884.0
720,Switzerland,1.5,4.0,0.08,0.04,50.336185344351556,861.0,50.500000650107616,883.0,33.0,150.0,48.0,643.0,33.0,AWW,48.0,AWW,961.0,1033.0,3048.0
721,Switzerland,1.5,4.0,0.08,0.04,43.926696606736115,185.0,54.50000096663135,943.0,39.0,79.0,39.0,79.0,39.0,AWW,39.0,AWW,986.0,1043.0,3089.0
722,Switzerland,1.5,4.0,0.08,0.04,65.75284159980447,1938.0,54.50000053221172,323.0,37.0,26.0,64.0,1469.0,37.0,AWW,54.50000053221172,HARISS,959.0,992.0,3023.0
723,Switzerland,1.5,4.0,0.08,0.04,70.26148279099459,27001.0,47.50000017894517,904.0,21.0,8.0,50.0,1265.0,21.0,AWW,47.50000017894517,HARISS,1032.0,1033.0,2981.0
724,Switzerland,1.5,4.0,0.08,0.04,59.586270583956896,2381.0,57.500000601462865,1735.0,36.0,46.0,37.0,52.0,36.0,AWW,37.0,AWW,980.0,1102.0,2990.0
725,Switzerland,1.5,4.0,0.08,0.04,24.677234885026067,7.0,57.50000066485725,469.0,23.0,5.0,24.0,5.0,23.0,AWW,24.0,AWW,997.0,1025.0,2895.0
726,Switzerland,1.5,4.0,0.08,0.04,61.52455196288227,2622.0,50.5000003746799,489.0,45.0,201.0,55.0,989.0,45.0,AWW,50.5000003746799,HARISS,983.0,1081.0,3051.0
727,Switzerland,1.5,4.0,0.08,0.04,62.77195782545377,1641.0,40.50000083401277,188.0,46.0,269.0,58.0,861.0,40.50000083401277,HARISS,40.50000083401277,HARISS,941.0,1064.0,2943.0
728,Switzerland,1.5,4.0,0.08,0.04,39.09224144517643,29.0,61.50000037621258,1293.0,41.0,38.0,60.0,1028.0,39.09224144517643,ICU,39.09224144517643,ICU,938.0,1030.0,2920.0
729,Switzerland,1.5,4.0,0.08,0.04,64.48401138010328,1764.0,57.50000067718519,640.0,30.0,7.0,30.0,7.0,30.0,AWW,30.0,AWW,1038.0,1072.0,3045.0
730,Switzerland,1.5,4.0,0.08,0.04,67.37287227732412,4711.0,43.50000005692989,250.0,36.0,83.0,40.0,158.0,36.0,AWW,40.0,AWW,975.0,1022.0,2996.0
731,Switzerland,1.5,4.0,0.08,0.04,54.232098474114075,1430.0,43.500000174878465,259.0,43.0,241.0,51.0,835.0,43.0,AWW,43.500000174878465,HARISS,952.0,984.0,2895.0
