sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_ctt1_detection_time,aww_ctt1_local_cases,aww_ctt2_detection_time,aww_ctt2_local_cases,aww_escalation_detection_time,aww_escalation_local_cases,hariss_triggered_detection_time,hariss_triggered_local_cases,aww_to_hariss_escalation_lag,earliest_detection_time_ctt1,earliest_surveillance_type_ctt1,earliest_detection_time_ctt2,earliest_surveillance_type_ctt2,earliest_detection_time_triggered,earliest_surveillance_type_triggered,total_latent,total_infectious,total_detectable
25,Switzerland,1.5,3.5,0.0016,0.04,46.684547767183076,725506.0,33.50000009117054,8230.0,32.0,4918.0,35.0,14185.0,30.0,2586.0,36.500000798076876,24583.0,6.500000798076876,32.0,AWW,33.50000009117054,HARISS,30.0,AWW_escalation,2.522304e6,1.290408e6,2.133877e6
26,Switzerland,1.5,3.5,0.0016,0.04,47.70093841694381,1.015368e6,29.50000048069557,2071.0,29.0,1651.0,30.0,2425.0,5.0,0.0,35.50000090677381,15749.0,30.500000906773813,29.0,AWW,29.50000048069557,HARISS,5.0,AWW_escalation,2.52631e6,1.289441e6,2.135747e6
27,Switzerland,1.5,3.5,0.0016,0.04,48.93610620384948,1.53501e6,29.500000239119817,1638.0,10.0,0.0,18.0,16.0,10.0,0.0,35.50000082464269,16639.0,25.50000082464269,10.0,AWW,18.0,AWW,10.0,AWW_escalation,2.521693e6,1.290762e6,2.136511e6
28,Switzerland,1.5,3.5,0.0016,0.04,30.102227099672042,2501.0,40.500000039295735,91853.0,31.0,3281.0,32.0,4633.0,31.0,3281.0,35.500000459962926,16193.0,4.500000459962926,30.102227099672042,ICU,30.102227099672042,ICU,30.102227099672042,ICU,2.524701e6,1.289573e6,2.135378e6
29,Switzerland,1.5,3.5,0.0016,0.04,45.5966132536541,511964.0,36.50000093619835,24550.0,30.0,2888.0,35.0,14413.0,30.0,2888.0,33.500000029163076,9406.0,3.5000000291630755,30.0,AWW,35.0,AWW,30.0,AWW_escalation,2.523683e6,1.28921e6,2.134275e6
30,Switzerland,1.5,3.5,0.0016,0.04,43.82877755701166,265325.0,36.50000047310147,25765.0,34.0,11555.0,37.0,29661.0,4.0,0.0,27.50000071816604,1355.0,23.50000071816604,34.0,AWW,36.50000047310147,HARISS,4.0,AWW_escalation,2.520244e6,1.293009e6,2.133538e6
31,Switzerland,1.5,3.5,0.0016,0.04,46.37151000830765,656409.0,40.50000077589898,89988.0,35.0,13869.0,38.0,38881.0,35.0,13869.0,35.500000336911675,16553.0,0.5000003369116754,35.0,AWW,38.0,AWW,35.0,AWW_escalation,2.523741e6,1.29131e6,2.134411e6
32,Switzerland,1.5,3.5,0.0016,0.04,50.77564394437065,2.839166e6,36.50000018240539,23655.0,30.0,2575.0,33.0,7384.0,8.0,0.0,35.500000800371055,17164.0,27.500000800371055,30.0,AWW,33.0,AWW,8.0,AWW_escalation,2.524575e6,1.2906e6,2.134739e6
33,Switzerland,1.5,3.5,0.0016,0.04,42.54853883038135,182183.0,33.50000074140223,8424.0,29.0,1592.0,33.0,6877.0,29.0,1592.0,33.50000037746739,8424.0,4.500000377467387,29.0,AWW,33.0,AWW,29.0,AWW_escalation,2.521755e6,1.291966e6,2.135117e6
34,Switzerland,1.5,3.5,0.0016,0.04,38.82491976061578,48073.0,40.5000001284584,89358.0,28.0,1094.0,34.0,8998.0,3.0,0.0,33.500000423578356,7952.0,30.500000423578356,28.0,AWW,34.0,AWW,3.0,AWW_escalation,2.522174e6,1.289723e6,2.133223e6
