sample_id,country,R0,gen_time,p_det,false_positive_rate,icu_detection_time,icu_local_cases,hariss_detection_time,hariss_local_cases,aww_detection_time,aww_local_cases,earliest_detection_time,earliest_surveillance_type,total_latent,total_infectious,total_detectable
167,Switzerland,1.5,4.0,0.08,0.04,67.83025674289553,682.0,22.50000014061794,2.0,54.0,98.0,22.50000014061794,HARISS,997.0,1060.0,3077.0
168,Switzerland,1.5,4.0,0.08,0.04,26.628685133923018,190.0,29.50000004978909,252.0,58.0,283.0,26.628685133923018,ICU,1004.0,1088.0,2972.0
169,Switzerland,1.5,4.0,0.08,0.04,72.21230056606424,1619.0,61.5000003657457,340.0,43.0,16.0,43.0,AWW,955.0,1044.0,3076.0
170,Switzerland,1.5,4.0,0.08,0.04,78.70863793700454,1335.0,68.50000063115381,293.0,23.0,1.0,23.0,AWW,956.0,1070.0,3103.0
171,Switzerland,1.5,4.0,0.08,0.04,47.273927551208146,351.0,54.50000079266074,1011.0,47.0,341.0,47.0,AWW,962.0,1053.0,2899.0
172,Switzerland,1.5,4.0,0.08,0.04,72.75149499717233,708.0,71.50000031923427,591.0,34.0,8.0,34.0,AWW,983.0,1091.0,3015.0
173,Switzerland,1.5,4.0,0.08,0.04,18.042540388911995,5.0,Inf,NaN,55.0,5.0,18.042540388911995,ICU,935.0,1008.0,2961.0
174,Switzerland,1.5,4.0,0.08,0.04,63.54107016515932,1692.0,54.50000002471197,411.0,48.0,159.0,48.0,AWW,963.0,1057.0,3040.0
175,Switzerland,1.5,4.0,0.08,0.04,94.46474683733506,128.0,Inf,NaN,46.0,10.0,46.0,AWW,1006.0,1052.0,2928.0
176,Switzerland,1.5,4.0,0.08,0.04,71.26079881577716,1436.0,54.500000880758,127.0,45.0,19.0,45.0,AWW,984.0,1035.0,2974.0
177,Switzerland,1.5,4.0,0.08,0.04,35.98211177065923,10.0,Inf,NaN,44.0,45.0,35.98211177065923,ICU,990.0,1063.0,2977.0
178,Switzerland,1.5,4.0,0.08,0.04,54.36255222658705,543.0,61.50000059371034,1476.0,51.0,343.0,51.0,AWW,899.0,1044.0,3004.0
179,Switzerland,1.5,4.0,0.08,0.04,81.82659889958518,1149.0,75.50000034535734,513.0,51.0,22.0,51.0,AWW,966.0,1025.0,2973.0
180,Switzerland,1.5,4.0,0.08,0.04,36.356845475224674,10.0,Inf,NaN,45.0,10.0,36.356845475224674,ICU,950.0,1082.0,2991.0
181,Switzerland,1.5,4.0,0.08,0.04,77.95261314349445,823.0,68.50000064078392,195.0,49.0,36.0,49.0,AWW,928.0,1032.0,3010.0
182,Switzerland,1.5,4.0,0.08,0.04,77.8810021858993,2427.0,71.50000077615262,943.0,58.0,127.0,58.0,AWW,943.0,1041.0,3040.0
183,Switzerland,1.5,4.0,0.08,0.04,28.50309639908052,10.0,Inf,NaN,43.0,19.0,28.50309639908052,ICU,994.0,1112.0,3061.0
184,Switzerland,1.5,4.0,0.08,0.04,78.03761823029943,2225.0,78.50000069961074,2404.0,42.0,45.0,42.0,AWW,1011.0,1020.0,2927.0
185,Switzerland,1.5,4.0,0.08,0.04,66.97543100753114,953.0,64.50000051781187,676.0,35.0,0.0,35.0,AWW,1025.0,1059.0,2994.0
186,Switzerland,1.5,4.0,0.08,0.04,63.35351011107981,3376.0,54.500000148010685,818.0,57.0,1228.0,54.500000148010685,HARISS,941.0,1088.0,2972.0
187,Switzerland,1.5,4.0,0.08,0.04,50.42318742947183,293.0,50.500000443388565,298.0,46.0,194.0,46.0,AWW,951.0,1060.0,2977.0
188,Switzerland,1.5,4.0,0.08,0.04,41.65925390735346,127.0,36.50000076238485,64.0,38.0,78.0,36.50000076238485,HARISS,949.0,1087.0,3050.0
189,Switzerland,1.5,4.0,0.08,0.04,72.49186961028667,548.0,57.500000250018886,79.0,53.0,47.0,53.0,AWW,932.0,1061.0,3006.0
190,Switzerland,1.5,4.0,0.08,0.04,47.33724454815175,264.0,54.500000881126226,766.0,49.0,322.0,47.33724454815175,ICU,980.0,1055.0,2968.0
191,Switzerland,1.5,4.0,0.08,0.04,22.859730040115668,207.0,Inf,NaN,52.0,219.0,22.859730040115668,ICU,960.0,987.0,2907.0
192,Switzerland,1.5,4.0,0.08,0.04,40.06485738331072,16.0,71.50000044183916,594.0,54.0,73.0,40.06485738331072,ICU,961.0,1002.0,3101.0
193,Switzerland,1.5,4.0,0.08,0.04,70.80640975508997,59.0,Inf,NaN,30.0,1.0,30.0,AWW,1003.0,1089.0,3072.0
194,Switzerland,1.5,4.0,0.08,0.04,34.818745711559245,488.0,33.50000006041844,375.0,45.0,2347.0,33.50000006041844,HARISS,964.0,1085.0,2947.0
195,Switzerland,1.5,4.0,0.08,0.04,62.697006282993875,1721.0,57.500000600729315,730.0,58.0,793.0,57.500000600729315,HARISS,932.0,1030.0,2929.0
196,Switzerland,1.5,4.0,0.08,0.04,63.6145831957178,1156.0,54.500000142101165,283.0,56.0,364.0,54.500000142101165,HARISS,971.0,1071.0,2972.0
197,Switzerland,1.5,4.0,0.08,0.04,41.017664253889045,28.0,40.50000039258398,28.0,36.0,22.0,36.0,AWW,928.0,1049.0,2908.0
198,Switzerland,1.5,4.0,0.08,0.04,30.982566093593167,157.0,15.500000794635527,16.0,53.0,3896.0,15.500000794635527,HARISS,998.0,1049.0,3033.0
199,Switzerland,1.5,4.0,0.08,0.04,53.16936578241321,1017.0,47.500000764802245,454.0,55.0,1272.0,47.500000764802245,HARISS,918.0,1038.0,2938.0
200,Switzerland,1.5,4.0,0.08,0.04,65.62606512853775,3599.0,61.50000046111975,1924.0,35.0,36.0,35.0,AWW,955.0,1015.0,2961.0
201,Switzerland,1.5,4.0,0.08,0.04,65.92390776756807,373.0,71.50000077803888,844.0,46.0,23.0,46.0,AWW,917.0,1141.0,3097.0
202,Switzerland,1.5,4.0,0.08,0.04,66.80391666290025,328.0,68.50000043330478,430.0,53.0,58.0,53.0,AWW,1027.0,1107.0,2954.0
203,Switzerland,1.5,4.0,0.08,0.04,80.38228536646325,2253.0,61.50000099454214,147.0,58.0,92.0,58.0,AWW,1000.0,1100.0,2923.0
204,Switzerland,1.5,4.0,0.08,0.04,21.573912593738935,8.0,Inf,NaN,52.0,8.0,21.573912593738935,ICU,970.0,1100.0,2972.0
205,Switzerland,1.5,4.0,0.08,0.04,37.81162170561865,165.0,40.5000006384832,256.0,51.0,1077.0,37.81162170561865,ICU,987.0,1049.0,3045.0
206,Switzerland,1.5,4.0,0.08,0.04,40.8359655244496,169.0,54.50000015497835,1193.0,51.0,696.0,40.8359655244496,ICU,938.0,1035.0,3038.0
207,Switzerland,1.5,4.0,0.08,0.04,80.4438169014671,2674.0,78.5000003567665,1963.0,32.0,4.0,32.0,AWW,1032.0,1040.0,2884.0
208,Switzerland,1.5,4.0,0.08,0.04,65.35116384067251,628.0,57.50000082629538,216.0,42.0,30.0,42.0,AWW,975.0,1083.0,2899.0
209,Switzerland,1.5,4.0,0.08,0.04,66.07645049426975,2762.0,57.500000544545216,742.0,45.0,99.0,45.0,AWW,947.0,1038.0,3066.0
210,Switzerland,1.5,4.0,0.08,0.04,64.56110789809605,890.0,68.50000063950216,1606.0,55.0,199.0,55.0,AWW,1000.0,1059.0,3083.0
