country,R0,generation_time,airport_detection_prob,icu_sampling_proportion,airport_mean_detection_time,airport_std_detection_time,airport_mean_local_cases,airport_detection_rate,icu_mean_detection_time,icu_std_detection_time,icu_mean_local_cases,icu_detection_rate
Singapore,2.5,6.0,0.16,0.1,39.31,8.925839235646475,14.9,1.0,79.70148603340243,20.234236666241657,561.65,1.0
Ecuador,2.5,8.0,0.04,0.1,87.13,8.792392257864842,31.5,1.0,97.42154802676154,12.914418919252977,69.59183673469387,0.98
Sierra Leone,2.5,8.0,0.04,0.1,84.0909090909091,10.160036667428319,51.37373737373738,0.99,93.33533195262804,13.77709377519136,104.0,1.0
Singapore,2.5,8.0,0.04,0.1,59.68,10.34152168237686,52.29,1.0,84.67429390972971,20.468891691560312,364.13,1.0
Ecuador,2.5,8.0,0.08,0.1,84.19,8.2016196971431,20.95,1.0,96.13559423428167,12.127606715953704,58.41,1.0
Sierra Leone,2.5,8.0,0.08,0.1,77.13,10.72206730405696,17.83,1.0,92.9472092736778,12.731155170140406,64.73,1.0
Singapore,2.5,8.0,0.08,0.1,55.94,10.168102233470266,32.26,1.0,86.32990941196795,18.5956718518679,264.65,1.0
Ecuador,2.5,8.0,0.16,0.1,77.51,10.813847276954345,9.69,1.0,96.85992292627535,10.18256497742835,51.56,1.0
Sierra Leone,2.5,8.0,0.16,0.1,72.43,12.025440204882818,11.23,1.0,94.51818509017136,13.763982271811926,67.17,1.0
Singapore,2.5,8.0,0.16,0.1,46.74,11.340122743532532,9.03,1.0,89.03263154550257,18.204706491372033,171.63,1.0
Ecuador,2.5,10.0,0.04,0.1,86.87096774193549,15.14538859517724,7.096774193548387,0.31,100.03589405156325,9.891876455837409,16.5,0.38
Sierra Leone,2.5,10.0,0.04,0.1,93.8,8.534675035764495,20.216666666666665,0.6,100.4478100059583,9.7815080253311,26.451612903225808,0.62
Singapore,2.5,10.0,0.04,0.1,70.81,12.018247910085845,47.89,1.0,87.40068698414485,21.477250396815524,140.33,1.0
Ecuador,2.5,10.0,0.08,0.1,89.71153846153847,9.838572625753045,9.326923076923077,0.52,101.63303359432938,8.51087647570906,22.194444444444443,0.36
Sierra Leone,2.5,10.0,0.08,0.1,91.14117647058823,11.354832138131945,13.152941176470588,0.85,100.66811844051406,9.169780113019398,21.96551724137931,0.58
Singapore,2.5,10.0,0.08,0.1,60.97,15.154727235280665,17.55,1.0,89.26331635186813,19.61890425959297,93.25,1.0
Ecuador,2.5,10.0,0.16,0.1,86.67857142857143,12.551734593596596,6.476190476190476,0.84,100.56061707363322,10.611140024300152,20.574468085106382,0.47
Sierra Leone,2.5,10.0,0.16,0.1,83.5360824742268,13.822582561149481,7.22680412371134,0.97,98.28941381354441,13.401762137816503,18.333333333333332,0.54
Singapore,2.5,10.0,0.16,0.1,54.21,14.827830099328272,10.4,1.0,87.7103400930039,20.997002751416897,71.94,1.0
