outbreak_country,time,daily_mean_imports,mean_detection_time,R0,generation_time,p_det,gamma_cumulative_shape,gamma_cumulative_rate
Congo,106,,58.794056949087526,2.0,4,0.08,,
Congo,107,,58.794056949087526,2.0,4,0.08,,
Congo,108,,58.794056949087526,2.0,4,0.08,,
Congo,109,,58.794056949087526,2.0,4,0.08,,
Congo,110,,58.794056949087526,2.0,4,0.08,,
Congo,111,,58.794056949087526,2.0,4,0.08,,
Congo,112,,58.794056949087526,2.0,4,0.08,,
Congo,113,,58.794056949087526,2.0,4,0.08,,
Congo,114,,58.794056949087526,2.0,4,0.08,,
Congo,115,,58.794056949087526,2.0,4,0.08,,
Congo,116,,58.794056949087526,2.0,4,0.08,,
Congo,117,,58.794056949087526,2.0,4,0.08,,
Congo,118,,58.794056949087526,2.0,4,0.08,,
Congo,119,,58.794056949087526,2.0,4,0.08,,
Congo,120,,58.794056949087526,2.0,4,0.08,,
Congo,0,3.717914864864724e-05,55.12694661800543,2.0,4,0.16,,
Congo,1,5.136779890335674e-05,55.12694661800543,2.0,4,0.16,,
Congo,2,6.21713791559843e-05,55.12694661800543,2.0,4,0.16,,
Congo,3,7.395639656238077e-05,55.12694661800543,2.0,4,0.16,,
Congo,4,8.962830477798916e-05,55.12694661800543,2.0,4,0.16,,
Congo,5,0.00010850875753476473,55.12694661800543,2.0,4,0.16,,
Congo,6,0.00013107903651388158,55.12694661800543,2.0,4,0.16,,
Congo,7,0.0001584143927146909,55.12694661800543,2.0,4,0.16,,
Congo,8,0.00019148516106071481,55.12694661800543,2.0,4,0.16,,
Congo,9,0.00023143320593277871,55.12694661800543,2.0,4,0.16,,
Congo,10,0.0002797062581549922,55.12694661800543,2.0,4,0.16,,
Congo,11,0.00033804459231845645,55.12694661800543,2.0,4,0.16,,
Congo,12,0.00040853653793249795,55.12694661800543,2.0,4,0.16,,
Congo,13,0.0004937217301659385,55.12694661800543,2.0,4,0.16,,
Congo,14,0.0005966482863328975,55.12694661800543,2.0,4,0.16,,
Congo,15,0.0007210215757780468,55.12694661800543,2.0,4,0.16,,
Congo,16,0.0008713035848373655,55.12694661800543,2.0,4,0.16,,
Congo,17,0.0010528788951802833,55.12694661800543,2.0,4,0.16,,
Congo,18,0.0012722700670764744,55.12694661800543,2.0,4,0.16,,
Congo,19,0.001537339699986348,55.12694661800543,2.0,4,0.16,,
Congo,20,0.0018575929683352418,55.12694661800543,2.0,4,0.16,,
Congo,21,0.002244518459981932,55.12694661800543,2.0,4,0.16,,
Congo,22,0.002711977808989295,55.12694661800543,2.0,4,0.16,,
Congo,23,0.0032767227819978095,55.12694661800543,2.0,4,0.16,,
Congo,24,0.003958988803454702,55.12694661800543,2.0,4,0.16,,
Congo,25,0.004783213214399586,55.12694661800543,2.0,4,0.16,,
Congo,26,0.005778917788746899,55.12694661800543,2.0,4,0.16,,
Congo,27,0.006981751288217028,55.12694661800543,2.0,4,0.16,,
Congo,28,0.008434776377355298,55.12694661800543,2.0,4,0.16,,
Congo,29,0.010189994237301062,55.12694661800543,2.0,4,0.16,,
